Age_physical_avg_min,PRESSURE,TEMPERATURE,RHUM,SZA,JNO2_NO_O3P,JHNO2_OH_NO,JH2O2_2OH,JHNO3_OH_NO2,JO3_O2_O1D,JCH2O_H_HCO,JCH2O_H2_CO,JNO3_NO_O2,JNO3_NO2_O3P,JN2O5_NO3_NO2,JHNO4_HO2_NO2_UV_VISonly,JCH3CHO_CH3_HCO,JPropanal_C2H5_HCO,JCH3OOH_CH3O_OH,JMeONO2_CH3O_NO2,JEthONO2_CH3CH2O_NO2,JCH3COOONO2_CH3COOO_NO2,JCH3COOONO2_CH3COO_NO3,JMAC_Products,JMVK_Products,JAcetone_CH3CO_CH3,JMEK_CH3CO_CH2CH3,JHydroxyacetone_CH3COO_CH3,JHydroxyacetone_CH3CO_CH3O,JCHOCHO_HCO_HCO,JCHOCHO_H2_2CO,JCHOCHO_CH2O_CO,JCH3COCHO_CH3CO_HCO,J23Butanedione_Products,JCl2_Cl_Cl,JClO_Cl_O3P,JClNO2_Cl_NO2,JClONO_Cl_NO2,JClONO2_Cl_NO3,JClONO2_ClO_NO2,JBr2_Br_Br,JBrO_Br_O,JHOBr_OH_Br,JBrNO_Br_NO,JBrONO_Br_NO2,JBrONO_BrO_NO,JBrNO2_Br_NO2,JBrONO2_BrO_NO2,JBrONO2_Br_NO3,JBrCl_Br_Cl,JCHBr3_Products
50.18,597.056227904762,275.478585328571,19.605087809523802,35.0569917895238,0.00936776628571429,0.00138834776190476,5.18525776190476e-06,3.5998217619047603e-07,1.84976619047619e-05,2.16539828571429e-05,3.82650495238095e-05,0.0337359147619048,0.27515477142857103,2.52439847619048e-05,4.46746923809524e-06,4.32629228571429e-06,1.36942247619048e-05,3.98081271428571e-06,5.00793376190476e-07,8.089638809523809e-07,2.83432395238095e-07,1.2147103047619e-07,4.08985319047619e-06,4.2618717142857105e-06,2.7790330952381e-07,3.8810714285714306e-06,5.94925523809524e-07,5.94925523809524e-07,7.4360520952381e-05,1.13718910952381e-05,2.1734767619047603e-05,0.000138627795238095,0.000384547371428571,0.002044436,2.78697195238095e-05,0.000247095438095238,0.00315412638095238,3.3648243809523806e-05,4.975345e-06,0.0470121395238095,0.028141180952381002,0.00240055595238095,0.0303402347619048,0.00844136623809524,0.00844136623809524,0.00537467923809524,0.000216006152380952,0.00122403476190476,0.0134518161904762,6.609423380952379e-07
52.12,597.269366058823,275.159014370588,25.219595294117603,38.940926465294105,0.00521751670588235,0.000726763123529412,2.33502811764706e-06,1.4314204705882401e-07,6.84513929411765e-06,9.078687e-06,1.7354774705882402e-05,0.0271487417647059,0.211421041176471,1.135173e-05,1.8713810588235298e-06,1.69197594117647e-06,5.52591782352941e-06,1.81229147058824e-06,1.9840752352941198e-07,3.2117285294117603e-07,1.176251e-07,5.04107582352941e-08,1.9875605294117598e-06,1.8988829999999999e-06,1.00484748235294e-07,1.54947829411765e-06,2.4205054705882395e-07,2.4205054705882395e-07,4.1423678235294105e-05,4.92662523529412e-06,9.93099682352941e-06,7.44432029411765e-05,0.000248695252941176,0.0010634063235294099,1.03706948823529e-05,0.000115139552941176,0.00148239982352941,1.7526827647058802e-05,2.1176891764705897e-06,0.0323838582352941,0.0132568341176471,0.00142503470588235,0.02139342,0.0039013942352941204,0.0039013942352941204,0.00321472994117647,0.000124695747058824,0.000706609182352941,0.008531331058823529,2.6223028823529397e-07
53.55,573.7219759999999,273.1667119,13.7219697142857,33.98575611,0.0112706242857143,0.00174408585714286,7.20802928571429e-06,5.328538e-07,2.83015914285714e-05,3.16520914285714e-05,5.33198714285714e-05,0.03343593,0.27625675714285697,3.4203142857142895e-05,6.524397e-06,6.69815042857143e-06,2.07083871428571e-05,5.53095471428571e-06,7.39040571428571e-07,1.19039714285714e-06,4.0498767142857103e-07,1.73566114285714e-07,5.433241e-06,6.13537557142857e-06,4.28676414285714e-07,5.91224442857143e-06,8.830916428571431e-07,8.830916428571431e-07,9.026081e-05,1.62890514285714e-05,3.02278642857143e-05,0.000173278057142857,0.000421382457142857,0.00261039885714286,4.261588285714289e-05,0.000335256571428571,0.004290785,4.249742285714289e-05,7.10928185714286e-06,0.0498841871428571,0.0381741371428571,0.00282462928571429,0.0321632328571429,0.0115975271428571,0.0115975271428571,0.0062225,0.000258602071428571,0.00146541171428571,0.01503143,9.58558228571429e-07
55.72,572.9707642000001,273.01826869999996,13.102069199999999,43.55835427,0.00050442752,6.0478768e-05,1.4867410000000002e-07,6.8915286e-09,2.7064024e-07,4.9491836e-07,1.09253808e-06,0.007843919,0.051127108,7.1625742e-07,1.01580166e-07,8.137297000000001e-08,2.8311372e-07,1.17621664e-07,9.461762e-09,1.5379534e-08,6.1820669999999986e-09,2.649457e-09,1.4409692000000002e-07,1.19840778e-07,3.7204992e-09,7.7491206e-08,1.23328404e-08,1.23328404e-08,4.1295878e-06,2.8575084000000006e-07,6.726599e-07,6.8568216e-06,3.3921738e-05,9.4497708e-05,4.0213328000000005e-07,7.894184000000001e-06,0.00010185638399999999,1.5434264e-06,1.1831944199999999e-07,0.0054953878,0.0008974768600000001,0.00017769558,0.0042452308,0.00025411888,0.00025411888,0.00037546156000000004,1.4375782e-05,8.1462778e-05,0.0011836867999999998,1.2434918999999999e-08
56.19,573.5233057894741,272.389990163158,31.7158218947368,40.4243247942105,0.008281098473684209,0.00122786189473684,4.44886615789474e-06,2.94720794736842e-07,1.45431678947368e-05,1.8547283157894698e-05,3.34546984210526e-05,0.0310165273684211,0.25008815789473704,2.09251768421053e-05,3.79845857894737e-06,3.6613577368421098e-06,1.1672790526315801e-05,3.4507081578947405e-06,4.07363310526316e-07,6.572814105263159e-07,2.3283031052631603e-07,9.97844252631579e-08,3.59303073684211e-06,3.7705291052631598e-06,2.14199015789474e-07,3.29554005263158e-06,5.00974084210526e-07,5.00974084210526e-07,6.58280431578947e-05,9.78954694736842e-06,1.8820229473684198e-05,0.000123152347368421,0.00034449058421052596,0.0018029282631578899,2.21102668421053e-05,0.000212422021052632,0.0027538932105263198,2.92650521052632e-05,4.189039e-06,0.0423442905263158,0.0246785421052632,0.00213696557894737,0.0274160452631579,0.0073779632631579,0.0073779632631579,0.00478816036842105,0.000191745084210526,0.0010865554210526302,0.0120394905263158,5.26824752631579e-07
60.56,573.727740923077,272.717314361538,22.967663153846196,36.3597975607692,0.0106901966153846,0.00163777838461538,6.46670053846154e-06,4.60777976923077e-07,2.38848976923077e-05,2.79528730769231e-05,4.816581e-05,0.0337385623076923,0.27745886153846194,3.0524383846153804e-05,5.74620823076923e-06,5.7742063846153804e-06,1.8039706923076898e-05,4.98335338461538e-06,6.38127746153846e-07,1.0283102538461501e-06,3.54437038461538e-07,1.5190157692307697e-07,4.99289784615385e-06,5.49978223076923e-06,3.5739263846153797e-07,5.13061176923077e-06,7.711176923076921e-07,7.711176923076921e-07,8.527689000000001e-05,1.45015676923077e-05,2.71911607692308e-05,0.00016282715384615401,0.0004111595,0.0024277593076923103,3.6053949230769205e-05,0.000303280438461538,0.003903272,3.94236023076923e-05,6.2799087692307705e-06,0.0491980915384615,0.0348335292307692,0.0026955095384615397,0.0317357676923077,0.0105231987692308,0.0105231987692308,0.00597110815384615,0.000245227015384615,0.00138961969230769,0.0145915207692308,8.256288846153849e-07
98.43,652.8432861,279.21926349999995,38.2608919,49.858161798999994,0.009353734399999999,0.0014746089000000002,6.249642200000001e-06,4.388874000000001e-07,2.0648364999999998e-05,2.7263981e-05,4.6583415999999996e-05,0.025883295,0.21246788,3.1402292e-05,5.4472635000000005e-06,4.9088952e-06,1.6179084000000002e-05,4.7322818000000005e-06,6.158460699999999e-07,9.998595e-07,3.5798352e-07,1.5342153e-07,4.6923878e-06,4.9076264e-06,2.9592746000000003e-07,4.5272668e-06,7.232873199999999e-07,7.232873199999999e-07,7.4307454e-05,1.3985922000000001e-05,2.5833451e-05,0.00014044823999999998,0.00032773116999999997,0.0022148111999999998,3.1615268e-05,0.00029479732999999995,0.0037011066,3.6239659e-05,6.1697319000000005e-06,0.038307606,0.033373476,0.0022931159,0.02500404,0.0101211685,0.0101211685,0.005005697700000001,0.00021128243999999998,0.001197267,0.011880092,8.2287006e-07
133.64,597.0735227999999,275.7755935,17.0903308,72.77986846600001,0.00019011692,1.8256586e-05,2.625127e-08,2.2102027936250004e-07,1.0368608728125e-05,4.0623084e-08,1.885823e-07,0.004978752,0.032365472,1.3996387999999998e-07,6.3892098e-09,2.47194394225e-06,1.5970652e-09,2.1492276e-08,3.1003261358749997e-07,5.0336802595e-07,3.4507537999999996e-10,1.4788948e-10,3.4713258000000004e-08,1.8328241999999998e-08,1.4854099565687502e-07,2.2821312375e-06,7.886858e-11,7.886858e-11,1.6364462e-06,3.4105152e-08,1.447155e-07,2.3604086e-06,1.835045e-05,3.3644292e-05,1.586646047625e-05,1.8083428000000002e-06,2.1909555999999997e-05,5.394582e-07,1.1308582e-08,0.0032851726,0.00018766083999999998,8.9919356e-05,0.0025848000000000004,4.8098608e-05,4.8098608e-05,0.00017848806,6.830459599999999e-06,3.8705936000000003e-05,0.00063760132,4.14275544675e-07
145.55,529.668632625,268.45407539999997,18.45017975,69.40156475875,0.00046928028749999997,5.235338125e-05,1.0369183999999999e-07,3.153158725e-09,8.885245625e-08,2.792178925e-07,7.75600175e-07,0.008490039625000001,0.05640413625,4.739261e-07,5.831362875e-08,3.49926845e-08,1.4238398625e-07,8.401767e-08,4.219157175e-09,6.8765519e-09,3.325963625e-09,1.4254130625e-09,1.1414713125e-07,8.495757625e-08,1.15453131375e-09,3.6995675e-08,6.380011125e-09,6.380011125e-09,3.93054425e-06,1.797998625e-07,4.966771375e-07,6.3517456249999995e-06,3.699009875e-05,8.543317875000001e-05,1.176529525e-07,5.8250125e-06,7.696883125e-05,1.3679205249999999e-06,7.0125285e-08,0.006170569,0.0006765437875,0.0001863484,0.00468916725,0.0001851350075,0.0001851350075,0.00038650504999999995,1.468862475e-05,8.323552875e-05,0.0012776086749999999,5.68102935e-09
149.75,569.438951714286,272.496114185714,19.9895072142857,77.5684384964286,0.00123056799285714,0.000159729721428571,3.59544721428571e-07,1.08838492857143e-08,2.169267e-07,1.05165987857143e-06,2.93948207142857e-06,0.00986681785714286,0.0712348521428571,1.68705978571429e-06,2.12993657142857e-07,1.05630403571429e-07,4.82518728571429e-07,2.9055267857142896e-07,1.4569088357142902e-08,2.4013105714285697e-08,1.26085756428571e-08,5.4036755e-09,3.85716164285714e-07,2.9815467857142895e-07,2.1501750071428603e-09,1.21856912142857e-07,2.28289464285714e-08,2.28289464285714e-08,9.691988e-06,6.690358e-07,1.57197092857143e-06,1.6729183571428602e-05,6.91258778571429e-05,0.000229884878571429,3.36938142857143e-07,1.9549434285714302e-05,0.000263120178571429,3.69552292857143e-06,2.60405971428571e-07,0.009742999857142859,0.00243465828571429,0.000368210907142857,0.00670490192857143,0.000681228778571429,0.000681228778571429,0.00082508295,3.089805785714289e-05,0.00017508898571428602,0.0023571620000000003,2.0079644999999998e-08
