Age_physical_avg_min,PRESSURE,TEMPERATURE,RHUM,SZA,JNO2_NO_O3P,JHNO2_OH_NO,JH2O2_2OH,JHNO3_OH_NO2,JO3_O2_O1D,JCH2O_H_HCO,JCH2O_H2_CO,JNO3_NO_O2,JNO3_NO2_O3P,JN2O5_NO3_NO2,JHNO4_HO2_NO2_UV_VISonly,JCH3CHO_CH3_HCO,JPropanal_C2H5_HCO,JCH3OOH_CH3O_OH,JMeONO2_CH3O_NO2,JEthONO2_CH3CH2O_NO2,JCH3COOONO2_CH3COOO_NO2,JCH3COOONO2_CH3COO_NO3,JMAC_Products,JMVK_Products,JAcetone_CH3CO_CH3,JMEK_CH3CO_CH2CH3,JHydroxyacetone_CH3COO_CH3,JHydroxyacetone_CH3CO_CH3O,JCHOCHO_HCO_HCO,JCHOCHO_H2_2CO,JCHOCHO_CH2O_CO,JCH3COCHO_CH3CO_HCO,J23Butanedione_Products,JCl2_Cl_Cl,JClO_Cl_O3P,JClNO2_Cl_NO2,JClONO_Cl_NO2,JClONO2_Cl_NO3,JClONO2_ClO_NO2,JBr2_Br_Br,JBrO_Br_O,JHOBr_OH_Br,JBrNO_Br_NO,JBrONO_Br_NO2,JBrONO_BrO_NO,JBrNO2_Br_NO2,JBrONO2_BrO_NO2,JBrONO2_Br_NO3,JBrCl_Br_Cl,JCHBr3_Products
139.67,591.325899954545,276.559788854545,10.058624499999999,60.5814299954545,0.00677991477272727,0.00102281052272727,3.59569522727273e-06,2.0458797727272698e-07,7.84340981818182e-06,1.4574156818181799e-05,2.84209331818182e-05,0.0260515118181818,0.20536770454545497,1.76074527272727e-05,2.85614768181818e-06,2.37318718181818e-06,8.264964227272729e-06,2.78147977272727e-06,2.84219804545455e-07,4.6343966363636396e-07,1.81163772727273e-07,7.76416181818182e-08,3.01461236363636e-06,3.03234168181818e-06,1.11664131818182e-07,2.26174027272727e-06,3.6037290454545496e-07,3.6037290454545496e-07,5.30623154545455e-05,7.783716318181821e-06,1.50371790909091e-05,9.93337468181818e-05,0.000270145931818182,0.00149335818181818,1.2401923181818199e-05,0.00017650345000000002,0.0022741126363636397,2.39847981818182e-05,3.28434581818182e-06,0.033525405,0.0208780245454545,0.0017269991363636401,0.0221431527272727,0.00618823968181818,0.00618823968181818,0.00382844490909091,0.000154541259090909,0.0008757337681818179,0.00960358509090909,3.7557784545454503e-07
146.91,567.9039695,273.953358354545,14.8999489090909,59.0732823231818,0.00423470690909091,0.000611899686363636,2.00010145454545e-06,1.0972465590909099e-07,4.23921722727273e-06,7.89871590909091e-06,1.57576854545455e-05,0.0227950745454545,0.170515990909091,9.53885336363636e-06,1.56243477272727e-06,1.32034640909091e-06,4.5583111363636395e-06,1.56217145454545e-06,1.5153716363636402e-07,2.46449254545455e-07,9.630789500000001e-08,4.12748118181818e-08,1.7307181363636399e-06,1.7197483636363602e-06,6.01588213636364e-08,1.24888909090909e-06,1.96086872727273e-07,1.96086872727273e-07,3.34436286363636e-05,4.27591504545455e-06,8.496973500000001e-06,6.14711340909091e-05,0.000190573045454545,0.0008966558545454551,6.67604904545455e-06,9.9022585e-05,0.0012896914999999999,1.44002754545455e-05,1.7810582727272701e-06,0.0250745227272727,0.0117697501363636,0.00114345282727273,0.0170403431818182,0.00346307113636364,0.00346307113636364,0.00253643159090909,0.00010028918318181801,0.0005683053772727269,0.00667938363636364,1.9758558636363602e-07
203.95,567.930647166667,273.494969788889,9.22396183333333,56.3309054061111,0.00568770888888889,0.0008494498,2.95671438888889e-06,1.722851e-07,7.04250372222222e-06,1.20695555555556e-05,2.3229884999999998e-05,0.0242092311111111,0.18777520000000003,1.4017355e-05,2.39165383333333e-06,2.0986015e-06,7.10491338888889e-06,2.30246944444444e-06,2.38129872222222e-07,3.86555911111111e-07,1.47147994444444e-07,6.30634194444444e-08,2.48211011111111e-06,2.55342311111111e-06,1.01023632222222e-07,1.95999277777778e-06,3.04661627777778e-07,3.04661627777778e-07,4.48399294444444e-05,6.44114111111111e-06,1.24901561111111e-05,8.399397499999999e-05,0.000235123744444444,0.00124306588888889,1.1038875e-05,0.000144067494444444,0.0018753258888888897,1.98954594444444e-05,2.6976794999999998e-06,0.0296610883333333,0.0171076272222222,0.0014751805555555599,0.0197691022222222,0.0050736835,0.0050736835,0.00327359044444444,0.000131466983333333,0.0007449795944444441,0.00831678188888889,3.0900897777777803e-07
206.08,591.2863841764711,276.174032370588,12.3310041176471,53.150499526470604,0.0029554395882352897,0.000418186247058824,1.320195e-06,7.261210529411759e-08,2.918415e-06,5.0656077058823506e-06,1.02098105882353e-05,0.0180619841176471,0.13326186470588197,6.46960294117647e-06,1.01376044117647e-06,8.41916341176471e-07,2.90423523529412e-06,1.02722138823529e-06,1.00631232352941e-07,1.63845958823529e-07,6.399292117647061e-08,2.7425538235294105e-08,1.15297932352941e-06,1.09434870588235e-06,4.17174470588235e-08,7.98045888235294e-07,1.27154952352941e-07,1.27154952352941e-07,2.32699964705882e-05,2.77111888235294e-06,5.59234764705882e-06,4.21453658823529e-05,0.000137647441176471,0.0006101587058823531,4.5458591764705904e-06,6.605186117647061e-05,0.000852519747058824,9.92306470588235e-06,1.16999005294118e-06,0.0185587888235294,0.00774640029411765,0.000809562958823529,0.0128408347058824,0.00226900905882353,0.00226900905882353,0.001796289,7.040949352941179e-05,0.00039898713529411804,0.0048195180588235294,1.3342825294117598e-07
222.03,603.908132615385,277.513220669231,7.54231561538462,51.248726757692296,0.00632362284615385,0.000976816984615385,3.79425153846154e-06,2.46000669230769e-07,1.08819753076923e-05,1.6074997692307698e-05,2.90984338461538e-05,0.0227271846153846,0.178675576923077,1.87560215384615e-05,3.1942394615384603e-06,2.88325215384615e-06,9.57311946153846e-06,2.90393430769231e-06,3.43427584615385e-07,5.58014876923077e-07,2.05618284615385e-07,8.812211e-08,2.99209615384615e-06,3.14999915384615e-06,1.60124284615385e-07,2.6651586923076902e-06,4.16398838461538e-07,4.16398838461538e-07,4.98734292307692e-05,8.38386369230769e-06,1.5784958461538503e-05,9.44232215384615e-05,0.000237414576923077,0.00144606653846154,1.68082161538462e-05,0.000181891023076923,0.00231383576923077,2.3429963846153798e-05,3.6255166923076896e-06,0.0290797746153846,0.0210023338461538,0.00158857707692308,0.0194365684615385,0.00630474892307692,0.00630474892307692,0.00348175715384615,0.00014391911538461498,0.000815541723076923,0.00855344976923077,4.5495016923076895e-07
