Age_physical_avg_min,PRESSURE,TEMPERATURE,RHUM,SZA,JNO2_NO_O3P,JHNO2_OH_NO,JH2O2_2OH,JHNO3_OH_NO2,JO3_O2_O1D,JCH2O_H_HCO,JCH2O_H2_CO,JNO3_NO_O2,JNO3_NO2_O3P,JN2O5_NO3_NO2,JHNO4_HO2_NO2_UV_VISonly,JCH3CHO_CH3_HCO,JPropanal_C2H5_HCO,JCH3OOH_CH3O_OH,JMeONO2_CH3O_NO2,JEthONO2_CH3CH2O_NO2,JCH3COOONO2_CH3COOO_NO2,JCH3COOONO2_CH3COO_NO3,JMAC_Products,JMVK_Products,JAcetone_CH3CO_CH3,JMEK_CH3CO_CH2CH3,JHydroxyacetone_CH3COO_CH3,JHydroxyacetone_CH3CO_CH3O,JCHOCHO_HCO_HCO,JCHOCHO_H2_2CO,JCHOCHO_CH2O_CO,JCH3COCHO_CH3CO_HCO,J23Butanedione_Products,JCl2_Cl_Cl,JClO_Cl_O3P,JClNO2_Cl_NO2,JClONO_Cl_NO2,JClONO2_Cl_NO3,JClONO2_ClO_NO2,JBr2_Br_Br,JBrO_Br_O,JHOBr_OH_Br,JBrNO_Br_NO,JBrONO_Br_NO2,JBrONO_BrO_NO,JBrNO2_Br_NO2,JBrONO2_BrO_NO2,JBrONO2_Br_NO3,JBrCl_Br_Cl,JCHBr3_Products
18.25,572.8017135454551,270.83440508181803,53.3827684545455,44.6024721845455,0.00475615290909091,0.000629159027272727,1.69967945454545e-06,8.69757863636364e-08,3.7378959090909105e-06,6.05138718181818e-06,1.27853931818182e-05,0.0296645127272727,0.229029172727273,7.872268727272729e-06,1.24933356363636e-06,1.04453158181818e-06,3.5447924545454497e-06,1.34860733636364e-06,1.1910346272727301e-07,1.9267485454545502e-07,7.45983781818182e-08,3.1970736363636403e-08,1.59192063636364e-06,1.40055155454545e-06,5.2038072727272695e-08,9.80221590909091e-07,1.55145637272727e-07,1.55145637272727e-07,3.78665745454545e-05,3.43409354545455e-06,7.42481872727273e-06,6.655784000000001e-05,0.00025206745454545496,0.0009109385000000001,5.72109909090909e-06,8.63686109090909e-05,0.00114434081818182,1.49069990909091e-05,1.4196812818181802e-06,0.0339238372727273,0.0102331289090909,0.00136313718181818,0.0224835336363636,0.00294459372727273,0.00294459372727273,0.00309602827272727,0.000116858745454545,0.000662199645454545,0.00853721109090909,1.5466532272727302e-07
22.07,573.6288818,271.1702035,67.03463599999999,52.23171154,0.0040693684,0.00060978194,2.1040442000000003e-06,1.2317974e-07,5.1715944e-06,8.6025272e-06,1.6438114e-05,0.015228976000000002,0.12094748,9.722402199999999e-06,1.7167162e-06,1.5066566e-06,5.0745066e-06,1.6477136000000001e-06,1.6956094e-07,2.744965e-07,1.03214926e-07,4.4234964e-08,1.7762826e-06,1.799816e-06,7.1617446e-08,1.4042076e-06,2.1926142000000004e-07,2.1926142000000004e-07,3.2085124e-05,4.6035588e-06,8.9241754e-06,6.007914000000001e-05,0.00016574514,0.0008868247599999999,8.0358984e-06,0.00010197145399999999,0.0013409702,1.4134487999999999e-05,1.913283e-06,0.020343574,0.012214234,0.00103985796,0.013278958,0.0036237724,0.0036237724,0.0023282648000000003,9.3157122e-05,0.00052789044,0.0058343848,2.1712884e-07
23.1,573.697621666667,271.420513733333,67.475399,52.631963311666695,0.0097716675,0.0015575261666666699,6.3086195e-06,4.12019166666667e-07,1.81895566666667e-05,2.7812165e-05,4.9107101666666706e-05,0.026559885,0.217443066666667,2.92398816666667e-05,5.4995655e-06,5.134563e-06,1.6863346666666698e-05,4.88996183333333e-06,5.69104416666667e-07,9.20181383333333e-07,3.32678783333333e-07,1.4257661666666697e-07,4.9318225e-06,5.46249033333333e-06,2.56294433333333e-07,4.70425116666667e-06,7.211775833333331e-07,7.211775833333331e-07,7.78243283333333e-05,1.4349189999999999e-05,2.66066116666667e-05,0.00014996595,0.000342612416666667,0.0023253435,2.83281016666667e-05,0.000297196833333333,0.0038595325,3.6768593333333296e-05,6.03667783333333e-06,0.0399567433333333,0.035063105,0.0024051023333333302,0.0260025566666667,0.0105904516666667,0.0105904516666667,0.00525047466666667,0.00022121265,0.0012535383333333301,0.0124518233333333,7.242044e-07
39.45,572.74726875,271.223087275,45.659644125,40.5362244175,0.002937031125,0.0003806371375,1.0094592625e-06,5.1544530000000005e-08,2.2681392500000002e-06,3.5348897499999997e-06,7.5278315e-06,0.0219790175,0.1636521125,4.71084425e-06,7.351888625e-07,6.180620749999999e-07,2.084644125e-06,8.00184775e-07,7.0614785e-08,1.142143975e-07,4.411255625e-08,1.89053825e-08,9.505893e-07,8.267252375e-07,3.188447875e-08,5.778614000000001e-07,9.129560000000002e-08,9.129560000000002e-08,2.35237575e-05,2.01848425e-06,4.43252025e-06,4.07541525e-05,0.0001640245875,0.000558380175,3.4428441249999998e-06,5.1636195e-05,0.0006809449125000001,9.1564675e-06,8.37811525e-07,0.02279288125,0.00606628,0.0008747222,0.0154947675,0.0017414435,0.0017414435,0.00196774025,7.42211475e-05,0.0004205864875,0.0055577395,9.211690499999999e-08
58.32,572.6383275000001,270.72492239999997,49.1755918571429,41.852996175,0.00331419992857143,0.00045906113571428603,1.38561614285714e-06,7.76819021428571e-08,3.4619110714285697e-06,5.27957992857143e-06,1.05228698571429e-05,0.0202083285714286,0.15048248571428602,6.39657457142857e-06,1.08148789285714e-06,9.47856392857143e-07,3.1566744999999996e-06,1.0921644999999999e-06,1.0663866428571401e-07,1.72319428571429e-07,6.47113471428571e-08,2.7733435714285696e-08,1.23159607142857e-06,1.15959357142857e-06,4.853212e-08,8.779982214285709e-07,1.3715797142857097e-07,1.3715797142857097e-07,2.63448921428571e-05,2.9106300714285704e-06,5.9726319285714304e-06,4.729470571428571e-05,0.00016270475714285702,0.000668336514285714,5.29443021428571e-06,6.867492285714289e-05,0.000906354307142857,1.08227921428571e-05,1.2115944285714301e-06,0.0217771514285714,0.008148634357142859,0.0009249662357142859,0.0147654292857143,0.002381167,0.002381167,0.0020750535714285697,8.01709935714286e-05,0.000454302271428571,0.00560779692857143,1.3741325e-07
59.01,572.605957125,270.9548222125,49.5646059375,46.59947155875,0.0030346816875,0.0004007586625,1.09256948125e-06,5.5380011875e-08,2.3191101875e-06,3.901014125e-06,8.2688201875e-06,0.022168095,0.163944675,5.065451875e-06,8.0220003125e-07,6.6351620625e-07,2.2686830625e-06,8.6625386875e-07,7.583944875e-08,1.227676275e-07,4.7906854375e-08,2.05315125e-08,1.0208765125e-06,9.0295590625e-07,3.2083250625e-08,6.2558318125e-07,9.9305600625e-08,9.9305600625e-08,2.424967875e-05,2.213383125e-06,4.7765975625e-06,4.239874125e-05,0.000164628075,0.0005868796125,3.5596292499999998e-06,5.5575293125e-05,0.00073497638125,9.5542471875e-06,9.1278054375e-07,0.022809081875,0.006589589125,0.0008928730125,0.01557203375,0.001898609375,0.001898609375,0.0020017114375,7.602581125e-05,0.00043081295625,0.00561199375,9.8444290625e-08
64.61,573.7710937999999,271.4900971,65.4950606,54.109587358,0.0090834418,0.0014364273999999998,5.6572554e-06,3.5837918e-07,1.5335548e-05,2.4647244e-05,4.4320908e-05,0.025692566,0.21049562,2.6219848e-05,4.8573834e-06,4.4411666e-06,1.4750812e-05,4.393930200000001e-06,4.9477492e-07,8.0069762e-07,2.9359496e-07,1.258264e-07,4.4934816e-06,4.8986588e-06,2.1426579999999998e-07,4.0984832e-06,6.3209664e-07,6.3209664e-07,7.2128134e-05,1.2789776e-05,2.3871244000000003e-05,0.00013830816,0.00032510604,0.002134049,2.3941396e-05,0.0002681907,0.003491955,3.3709958e-05,5.355988e-06,0.03821145,0.031817476000000004,0.0022444812,0.024841986,0.009576492800000001,0.009576492800000001,0.0049199282,0.00020556806,0.001164886,0.011763353999999998,6.3012768e-07
70.96,573.658874333333,271.37645923333304,59.6872596666667,54.4107039066667,0.004135013,0.000615155266666667,2.07458633333333e-06,1.1747176666666699e-07,4.770384333333329e-06,8.37484166666667e-06,1.6319683333333302e-05,0.0183811166666667,0.1399717,9.59889333333333e-06,1.665584e-06,1.42455766666667e-06,4.865537e-06,1.62724433333333e-06,1.615989e-07,2.618844e-07,1.00146036666667e-07,4.29197433333333e-08,1.77608933333333e-06,1.7753583333333303e-06,6.57603266666667e-08,1.33996533333333e-06,2.1093866666666698e-07,2.1093866666666698e-07,3.25825e-05,4.509554e-06,8.806419666666671e-06,6.0595609999999994e-05,0.000173068,0.000895066233333333,7.4381523333333295e-06,0.00010121860000000001,0.00133293266666667,1.42343633333333e-05,1.8657773333333302e-06,0.02191082,0.0121761866666667,0.001076145,0.0146757233333333,0.00360100666666667,0.00360100666666667,0.00239499466666667,9.56325166666667e-05,0.0005419176,0.006111772333333329,2.07469366666667e-07
78.79,572.6005923684211,270.949416110526,47.137222473684204,43.2149926057895,0.00452630484210526,0.000664845394736842,2.2685044210526298e-06,1.3835762631578902e-07,6.31540615789474e-06,9.23585831578947e-06,1.73736147368421e-05,0.0213763557894737,0.16255400526315802,1.04805546315789e-05,1.8722175789473702e-06,1.7087752105263201e-06,5.6094847368421e-06,1.77498578947368e-06,1.90450347368421e-07,3.07603057894737e-07,1.1259515263157899e-07,4.82550773684211e-08,1.90559305263158e-06,1.9271023684210498e-06,8.93988563157895e-08,1.56707994736842e-06,2.4201944736842106e-07,2.4201944736842106e-07,3.58685389473684e-05,4.9431577368421095e-06,9.65395494736842e-06,6.65159284210526e-05,0.000195416468421053,0.000970894421052632,9.70054047368421e-06,0.000109684357894737,0.00143921368421053,1.55851857894737e-05,2.073292e-06,0.02503659,0.0129935631578947,0.0011959640526315802,0.0167960921052632,0.0038548184210526297,0.0038548184210526297,0.00266170673684211,0.000105951915789474,0.0006003943157894741,0.0068660681052631605,2.4417207368421103e-07
137.25,573.762580875,271.39149289999995,53.16399375,49.45954001375,0.0041638825,0.0006138915,2.046943125e-06,1.179811875e-07,5.011852625e-06,8.21021725e-06,1.593579875e-05,0.01996802,0.1502765125,9.482454e-06,1.6480275e-06,1.435893625e-06,4.8400715e-06,1.605198125e-06,1.6233220000000004e-07,2.6278475e-07,9.923344999999999e-08,4.252863e-08,1.75328975e-06,1.7430571249999999e-06,6.987992375e-08,1.3394325e-06,2.097727375e-07,2.097727375e-07,3.282892375e-05,4.4316418750000004e-06,8.695667e-06,6.096578125e-05,0.0001780893375,0.0008919066875,7.77156875e-06,9.985494375e-05,0.0013140283749999999,1.424580125e-05,1.842745e-06,0.02287291875,0.01195391125,0.0010952133749999998,0.01544480625,0.003532388,0.003532388,0.0024354267499999997,9.688924125e-05,0.0005490389,0.00628209475,2.087425125e-07
