Flight_ID	plume_num	dat_flg	closest_fire	emission_pass_name	IsEmissionPass	SmkBkg_flg	Age_physical_avg_min	species	PRESSURE	TEMPERATURE	conc_smk	conc_bkg	XS_ppb	HONO_CIMS	sd_abs_conc	NEMR	CO	Benzene
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m113.02332..5_hydroxy_2_furfural.2_furoic_acid_C5H4O3.H...Corr._ppb	866.0765177	294.753352	0.185205356	0	0.185205356	0.016294977	0.075069783	0.000357003	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m113.05971..2_hydroxy_3_methyl_2_cyclopenten_1_one_C6H8O2.H...Corr._ppb	866.0765177	294.753352	0.003113597	0	0.003113597	0.016294977	0.012670595	6.00E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m113.09608..ethylcyclopentanone_C7H12O.H...Corr._ppb	866.0765177	294.753352	0.00017249	0	0.00017249	0.016294977	0.001935635	3.32E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m114.01857..nitrofuran_C4H3NO3.H...Corr._ppb	866.0765177	294.753352	0.002756595	0	0.002756595	0.016294977	0.008081679	5.31E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m115.03897..5_hydroxymethyl_2_3H_furanone_C5H6O3.H...Corr._ppb	866.0765177	294.753352	0.001181654	0	0.001181654	0.016294977	0.005846007	2.28E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m115.07536..C6_diones_C6H10O2.H...Corr._ppb	866.0765177	294.753352	0.00302254	0	0.00302254	0.016294977	0.013055854	5.83E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m115.11174..heptanal_C7H14O.H...Corr._ppb	866.0765177	294.753352	0.000225015	0	0.000225015	0.016294977	0.002521821	4.34E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m117.05462..2_5_dihydroxymethyl_dihydrofurfural_C5H8O3.H...Corr._ppb	866.0765177	294.753352	0.002399036	0	0.002399036	0.016294977	0.008913099	4.62E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m117.06987..indene_C9H8.H...Corr._ppb	866.0765177	294.753352	0.000643238	0	0.000643238	0.016294977	0.005311086	1.24E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m117.09101..C6_esters_C6H12O2.H...Corr._ppb	866.0765177	294.753352	0.00020774	0	0.00020774	0.016294977	0.00232736	4.00E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m118.04987..butene_nitrates_C4H7NO3.H...Corr._ppb	866.0765177	294.753352	0.000549392	0	0.000549392	0.016294977	0.00274777	1.06E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m118.06512..benzeneacetonitrile_C8H7N.H...Corr._ppb	866.0765177	294.753352	0.000424528	0	0.000424528	0.016294977	0.00255197	8.18E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m119.04914..benzofuran_C8H6O.H...Corr._ppb	866.0765177	294.753352	0.001964827	0	0.001964827	0.016294977	0.007174444	3.79E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m119.08553..indane_C9H10.H...Corr._ppb	866.0765177	294.753352	8.00E-05	0	8.00E-05	0.016294977	0.001269915	1.54E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m120.08078..dihydro_pyridine_C8H9N.H...Corr._ppb	866.0765177	294.753352	9.47E-05	0	9.47E-05	0.016294977	0.001069834	1.83E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m121.06479..tolualdehyde_C8H8O.H...Corr._ppb	866.0765177	294.753352	0.010094343	0	0.010094343	0.016294977	0.016034159	1.95E-05	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m121.10118..C9_AROMATICS_C9H12.H_cal...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m123.04406..salicylaldehyde_C7H6O2.H...Corr._ppb	866.0765177	294.753352	0.002063299	0	0.002063299	0.016294977	0.009776582	3.98E-06	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m123.08044..C2_phenols_C8H10O.H...Corr._ppb	866.0765177	294.753352	0.000377772	0	0.000377772	0.016294977	0.00298073	7.28E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m124.03930..nitrobenzene_C6H5NO2.H...Corr._ppb	866.0765177	294.753352	0.000233704	0	0.000233704	0.016294977	0.001672084	4.50E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m125.02332..hydroxy_benzoquinone_C6H4O3.H...Corr._ppb	866.0765177	294.753352	0.0002355	0	0.0002355	0.016294977	0.002639417	4.54E-07	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m125.05971..guaiacol_C7H8O2.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m126.12772..C8_nitriles_C8H15N.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m126.97044..dimethyl_trisulfide_C2H6S3.H...Corr._ppb	866.0765177	294.753352	0	0	0	0.016294977	0	0	518.7785714	0.398135904
AgedSmk	996	996	aged smoke	aged smoke	NA	smk	240	m127.03897..5_hydroxymethyl_2_furfural_C6H6O3.H...Corr._ppb	866.0765177	294.753352	0.006754296	0	0.006754296	0.016294977	0.01545012	1.30E-05	518.7785714	0.398135904
