"Flight_ID","plume_num","dat_flg","closest_fire","emission_pass_name","IsEmissionPass","SmkBkg_flg","Age_physical_avg_min","species","PRESSURE","TEMPERATURE","LATITUDE","LONGITUDE","ALTP","RHUM","SZA","j.NO2..NO.O.3P..","j.HNO2..OH.NO.","j.H2O2..2OH.","j.HNO3..OH.NO2.","j.O3..O2.O.1D..","j.CH2O..H.HCO.","j.CH2O..H2.CO.","j.NO3..NO.O2.","j.NO3..NO2.O.3P..","conc_smk","conc_bkg","XS_ppb","HONO_CIMS","sd_abs_conc","NEMR","CO","Benzene","Toluene","CH4","O3","NO","NO2","PAN"
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"C6H6O_UWCIMS",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,NA,0,NA,NA,NA,NA,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"CH2O2_UWCIMS",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,NA,0,NA,NA,NA,NA,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"CO_QCL",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,240.55,0,240.55,NA,0.0707106781186507,1,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"HCN_UWCIMS",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,NA,0,NA,NA,NA,NA,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"HONO_UWCIMS",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,NA,0,NA,NA,NA,NA,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m101.02332..dihydro_furandione_C4H4O3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0.117612980890272,0,0.117612980890272,NA,0.0460425661658577,0.000488933614176977,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m101.05971..methyl_methacrylate_C5H8O2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m101.09609..3_HEXANONE_C6H12O.H_cal...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m103.03897..acetic_anhydride_C4H6O3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m103.05423..phenylacetylene_C8H6.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m104.049475..benzonitrile_C7H5N.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0.0188781205327885,0,0.0188781205327885,NA,0.0266976940895834,7.84789878727435e-05,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m105.06988..styrene_C8H8.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m106.06512..vinylpyridine_C7H7N.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m107.04914..benzaldehyde_C7H6O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m107.08553..C8_AROMATICS_C8H10.H_cal...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m108.04439..pyridine_aldehyde_C6H5NO.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m108.08088..heptyl_nitriles_C7H9N.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m109.02841..p_benzoquinone_C6H4O2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m109.06479..o_cresol_C7H8O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m110.09642..C7_acrylonitrile_C7H11N.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m111.04406..5_METHYLFURFURAL_C6H6O2.H_cal...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m111.08044..C3_furan_C7H10O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m112.03930..dihydroxy_pyridine_C5H5NO2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m113.02332..5_hydroxy_2_furfural.2_furoic_acid_C5H4O3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0.0912516238726563,0,0.0912516238726563,NA,0.0163721466489974,0.000379345765423639,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m113.05971..2_hydroxy_3_methyl_2_cyclopenten_1_one_C6H8O2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m113.09608..ethylcyclopentanone_C7H12O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m114.01857..nitrofuran_C4H3NO3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0.0090545274284545,0,0.0090545274284545,NA,0.0128050354901995,3.764093713762e-05,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m115.03897..5_hydroxymethyl_2_3H_furanone_C5H6O3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m115.07536..C6_diones_C6H10O2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m115.11174..heptanal_C7H14O.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m117.05462..2_5_dihydroxymethyl_dihydrofurfural_C5H8O3.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m117.06987..indene_C9H8.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
"AgedSmk",996,996,"aged smoke","aged smoke",NA,"smk",240,"m117.09101..C6_esters_C6H12O2.H...Corr._ppb",531.162628,268.8164209,43.5120085,247.1144065,5.1260351565,61.8882885,44.16620341,0.006453871,0.001071412,4.949566e-06,3.61595e-07,1.76555e-05,2.314786e-05,3.805234e-05,0.01460481,0.1199363,0,0,0,NA,0,0,240.55,0.162364708030319,0,1900.2,66.26,0.01134075,0.313645,0.788977
