Age_physical_avg_min	Flight_ID	plume_num	emission_pass_name
240.5112263	RF09	171	Bear Trap Fire
263.5098444	RF09	172	Bear Trap Fire
277.2320866	RF09	173	Bear Trap Fire
245.6161564	RF09	174	Bear Trap Fire
280.0456134	RF09	176	Dollar_Ridge_Fire_b
198.3964465	RF09	178	Coal Hollow Fire
236.0356894	RF09	179	Coal Hollow Fire
39.45123723	RF10	180	Rabbit_Foot_Fire_b
58.3248922	RF10	181	Rabbit Foot Fire
78.78949153	RF10	182	Rabbit Foot Fire
18.24611085	RF10	183	Goldstone_Fire_a
59.00806558	RF10	184	Goldstone Fire
137.246327	RF10	185	Goldstone Fire
209.6856617	RF10	186	Goldstone Fire
22.07134175	RF10	187	Wigwam_Fire_a
23.10145338	RF10	188	Monument_Fire_a
64.60727581	RF10	189	Monument Fire
70.96377848	RF10	190	Wigwam Fire
161.1440973	RF10	191	Goldstone Fire
53.55118849	RF11	192	Rabbit_Foot_Fire_c
50.17676002	RF11	193	Rabbit_Foot_Fire_c
60.55811262	RF11	194	Rabbit_Foot_Fire_c
52.1241404	RF11	195	Rabbit_Foot_Fire_c
56.19425691	RF11	196	Rabbit_Foot_Fire_c
55.71683195	RF11	197	Beaver_Creek_Fire_a
98.42844603	RF11	198	Shellrock Fire
281.2697784	RF11	199	Shellrock Fire
337.6938896	RF11	200	Shellrock Fire
527.3084821	RF11	201	Shellrock Fire
361.0662467	RF11	202	Shellrock Fire
156.9428988	RF11	203	Shellrock Fire
145.5498559	RF11	204	Beaver_Creek_Fire_b
206.8279788	RF11	205	Beaver Creek Fire
266.1286091	RF11	206	Beaver Creek Fire
133.6447953	RF11	207	Goldstone_Fire_b
149.7543054	RF11	208	Goldstone Fire
172.0101628	RF11	209	Rabbit Foot Fire
222.0269836	RF13	228	Mendocino Complex Fire
206.0823059	RF13	229	Mendocino Complex Fire
203.9526711	RF13	230	Mendocino Complex Fire
146.9067252	RF13	231	Mendocino Complex Fire
139.6723534	RF13	232	Mendocino_Complex_Fire_a
17.04195	RF18	258	Red_Feather_Lakes_Rx_Fire_a
17.89452	RF18	259	Red_Feather_Lakes_Rx_Fire_b
23.3179	RF19	260	Silver_Creek_Fire_a
28.8812	RF19	261	Silver_Creek_Fire_b
