,Mean (rates),Std (rates),Mean (freq),Std (freq)
C2,0.47622305906198487,0.5803209388026186,27.566429636738192,1.8813815848534616
C3,0.6694847240059736,0.8776975594108437,29.98769908351194,4.468876089530335
C4,0.4438572832487233,0.4958567543236693,26.134333484938125,6.659470716403073
C5,0.08730178996539305,0.12132350373515251,4.181173761372451,1.682526559911459
C6,0.13638127930683902,0.1591953947853653,7.749663809414308,2.7509120706482615
C7,0.029059682389277836,0.0393858088826842,1.3517151328344248,0.4932134714011395
C8,0.03095580724809759,0.036312182693859774,1.769122195180325,0.4313200003629901
C9-C17,0.015409706813051004,0.017071133447440497,1.2542976209193355,1.1689196090358964
