,Mean (rates),Std (rates),Mean (freq),Std (freq)
C2,0.5253243422772927,0.604046134194085,60.92958797039568,1.7277072805662874
C3,0.01108872584064994,0.015207378953423096,1.4164376213214969,0.9511016899145088
C4,0.14594384128669988,0.16350469231231243,15.713826512345857,3.5297111648692057
C5,0.10332034235836114,0.1380531184791494,9.80350556822048,2.865835532146234
C6,0.07637884908509003,0.08624611027450989,9.098774480584488,3.2506995032480024
C7,0.008280536442773483,0.009527302411398061,1.0639671039556908,0.5533352246611714
C8,0.006695122522724177,0.009741937836402396,0.7339627665937589,0.39131934666242135
C9-C17,0.010857537948898535,0.012959370773874756,1.2399372962005748,0.6384857372780389
